pid,meta_class,meta_town_code,meta_nbhd,meta_certified_est_bldg,meta_certified_est_land,meta_cdu,meta_deed_type,char_hd_sf,char_age,char_apts,char_ext_wall,char_roof_cnst,char_rooms,char_beds,char_bsmt,char_bsmt_fin,char_heat,char_oheat,char_air,char_frpl,char_attic_type,char_fbath,char_hbath,char_tp_plan,char_tp_dsgn,char_cnst_qlty,char_site,char_gar1_size,char_gar1_cnst,char_gar1_att,char_gar1_area,char_ot_impr,char_bldg_sf,char_repair_cnd,char_use,char_type_resd,char_attic_fnsh,char_renovation,char_porch,geo_property_city,geo_property_zip,geo_tract_pop,geo_white_perc,geo_black_perc,geo_asian_perc,geo_his_perc,geo_other_perc,geo_fips,geo_municipality,geo_ohare_noise,geo_floodplain,geo_fs_flood_factor,geo_fs_flood_risk_direction,geo_withinmr100,geo_withinmr101300,geo_school_elem_district,geo_school_hs_district,econ_tax_rate,econ_midincome,ind_large_home,ind_garage,ind_arms_length
1,212,77,77091,96460,24960,NA,O,2125,129,4,2,2,12,6,3,3,2,5,2,0,1,4,1,2,2,2,2,7,NA,NA,NA,0,3800,2,2,2,3,NA,NA,CHICAGO,0-0,2847,0.01088865472427116,0.9469617140850016,0.00737618545837723,0.0273972602739726,0.00737618545837723,14000,Chicago,0,0,4,1,0,0,JOHNSON,MANLEY HS,6.913,28807,FALSE,FALSE,TRUE
2,203,31,31102,250650,41820,NA,T,6435,49,NA,2,1,6,4,3,3,1,5,1,0,2,1,1,NA,NA,2,2,3,2,1,2,0,1769,2,1,1,3,NA,NA,WESTCHESTER,60154,5569,0.664571736397917,0.07739270964266474,0.059974860836775,0.192853295026037,0.01041479619321242,80047,Westchester,0,0,6,1,0,0,SCHOOL DISTRICT 92 1/2,PROVISO TOWNSHIP HIGH SCHOOL 209,9.688,85958,FALSE,TRUE,TRUE
3,211,15,15072,138250,43010,NA,W,4650,59,3,2,2,14,8,1,2,2,5,2,0,3,3,0,2,2,2,2,7,NA,NA,NA,0,2601,2,2,2,NA,NA,NA,CICERO,60804,4916,0.04922701383238405,0.00732302685109845,0.00284784377542717,0.9406021155410904,0,14351,Cicero,0,0,5,0,0,0,SCHOOL DISTRICT  99,BERWYN CICERO STICKNEY HIGH SCHOOL 201,16.981,44440,FALSE,FALSE,TRUE
4,206,25,25132,447680,90950,NA,W,7425,69,NA,3,1,9,5,3,1,1,5,1,2,2,2,2,2,NA,2,2,1,3,1,2,965,2644,2,1,2,3,NA,1,NORTHBROOK,60062,4687,0.8344356731384681,0.0061873266481758,0.11179859184979732,0.03050992105824621,0.03072327714956262,53481,Northbrook,0,0,1,0,0,0,SCHOOL DISTRICT 28,NORTHFIELD TOWNSHIP HIGH SCHOOL  225,7.418,109821,FALSE,TRUE,TRUE
5,234,37,37092,105100,40230,GD,W,8940,41,NA,3,1,7,3,3,1,1,5,1,1,3,1,1,NA,NA,2,2,3,1,1,2,0,1198,2,1,4,NA,NA,NA,SOUTH HOLLAND,60473,5023,0.18793549671511048,0.74318136571769855,0.00179175791359745,0.06310969540115469,0.00676886322914592,70850,South Holland,0,0,1,0,0,0,SCHOOL DISTRICT  151,THORNTON TOWNSHIP HIGH SCHOOL  205,20.024,59213,FALSE,TRUE,TRUE
6,211,74,74012,742750,341000,AV,W,3100,134,3,2,1,17,11,1,3,1,2,1,0,3,3,0,2,2,2,2,7,NA,NA,NA,0,4014,2,2,3,NA,NA,2,CHICAGO,60614,4604,0.788010425716768,0.05473501303214596,0.07276281494352736,0.05712423979148566,0.05169417897480451,14000,Chicago,0,0,1,0,0,0,MAYER,LINCOLN PARK HS,6.89,138934,FALSE,FALSE,TRUE
7,278,28,28036,216050,95980,NA,W,17451,45,NA,3,1,7,4,3,3,1,5,1,1,3,2,1,2,2,2,2,3,2,1,1,0,2439,2,1,2,NA,NA,NA,ORLAND PARK,60462,7020,0.8626780626780627,0.02008547008547008,0.01039886039886039,0.0737891737891738,0.0660968660968661,56640,Orland Park,0,0,6,-1,0,0,SCHOOL DISTRICT  135,CONSOLIDATED HIGH SCHOOL  230,9.413,91250,FALSE,TRUE,TRUE
8,205,72,72110,119430,31870,NA,W,3750,110,NA,1,1,8,6,1,3,2,5,2,0,1,2,0,NA,NA,2,2,3,1,2,2,0,1658,2,1,2,3,NA,NA,CHICAGO,60629,6034,0.07126284388465363,0.02419622141199867,0,0.9045409347033476,0,14000,Chicago,0,0,1,0,0,0,SANDOVAL,HUBBARD HS,6.934,43772,FALSE,TRUE,TRUE
9,208,25,25110,1044710,134830,NA,W,11725,8,NA,1,1,9,4,1,3,1,5,1,1,3,3,1,2,1,2,2,6,1,1,1,0,3994,2,1,2,NA,NA,NA,GLENVIEW,60025,3481,0.8692904337833955,0.02786555587474863,0.06980752657282391,0.01005458201666188,0.04136742315426602,29938,Glenview,0,0,1,0,0,0,SCHOOL DISTRICT C C 34,NORTHFIELD TOWNSHIP HIGH SCHOOL  225,7.153,150862,TRUE,TRUE,TRUE
10,295,77,77060,626610,49910,NA,W,1097,6,NA,2,2,8,4,2,3,1,5,1,0,3,3,1,2,2,2,2,3,2,1,1,0,2169,2,1,3,NA,NA,NA,CHICAGO,60647,2267,0.8081164534627261,0.01985002205558006,0.08557565063961182,0.06263784737538597,0.04764005293339215,14000,Chicago,0,0,1,0,0,0,PULASKI,CLEMENTE HS,6.915,156389,FALSE,TRUE,TRUE
